domain	uc_code	uc_name	page_id	depth1	depth2	depth3	dev_type	description	from	flow_type	owner_page	owner_uc	legacy_screen_id	출처서비스	통합여부
앱-SCH	US-SCH-SRC-001	AI 검색으로 정보 탐색 완료	NOVA-SCH-PG-001-0	AI 검색			PG	AI 검색 진입 및 질의 입력. 최근 검색어·인기 검색어·추천 검색어 노출. 자연어·질문형 입력 지원. 전역 GNB 및 홈에서 진입	홈		✅	✅	TW-MY-MBR-MOPC-052-PG-001; TM-DSP-SCH-MO-12-PG-001; TU-DSP-SCH-MO-05-LP-001; TD-DSP-SCH-MO-35-AIP-003	TW, TM, TU, TD	●
앱-SCH	US-SCH-SRC-001	AI 검색으로 정보 탐색 완료	NOVA-SCH-BS-001-0	AI 검색	자동완성 레이어		BS	검색어 입력 중 자동완성·오타 교정 후보·연관 검색어 실시간 노출 레이어. 입력 취소 시 최근 검색어로 복귀			✅	✅	TW-MY-MBR-MOPC-052-PG-003; TM-DSP-SCH-MO-12-LP-004; TM-DSP-SCH-MO-12-LP-002; TU-DSP-SCH-MO-05-LP-001-1	TW, TM, TU	●
앱-SCH	US-SCH-SRC-001	AI 검색으로 정보 탐색 완료	NOVA-SCH-PG-002-0	AI 검색	검색 결과		PG	의도 기반 통합 결과 화면. AI Answer Card(비교·추천 요약) + 카테고리 탭(요금제·단말·혜택·FAQ 등) 구성. 출처·조건 확인 포함			✅	✅	TW-MY-MBR-MOPC-052-PG-002; TM-DSP-SCH-MO-12-PG-006; TU-DSP-SCH-MO-05-PG-001-1; TD-DSP-SCH-MO-35-AIP-004	TW, TM, TU, TD	●
앱-SCH	US-SCH-SRC-001	AI 검색으로 정보 탐색 완료	NOVA-SCH-BS-002-0	AI 검색	검색 결과	필터·정렬	BS	검색 결과 내 카테고리별 필터 조건 및 정렬 옵션 설정 바텀시트			✅	✅	TD-DSP-SCH-MO-01-PG-008; TD-DSP-SCH-MO-35-PG-002	TD	●
앱-SCH	US-SCH-SRC-001	AI 검색으로 정보 탐색 완료	NOVA-SCH-PG-003-0	AI 검색	검색 결과	검색결과 더보기	PG	카테고리별(혜택 브랜드·이벤트·공지·FAQ 등) 검색 결과 전체 목록. 탭 내 더보기에서 진입			✅	✅	TM-DSP-SCH-MO-12-PG-008; TM-DSP-SCH-MO-12-PG-010; TM-DSP-SCH-MO-12-PG-012; TM-DSP-SCH-MO-12-PG-018; TM-DSP-SCH-MO-12-PG-021; TM-DSP-SCH-MO-12-PG-023	TM	●
앱-SCH	US-SCH-ACT-001	AI 검색 기반 의사결정 및 실행 연결	NOVA-SCH-PG-004-0	AI 검색	검색 결과	비교·추천 요약	PG	AI Answer Card 상세. 조건별 비교 테이블·추천 근거·주의사항 확인. 고객 상태 기반 가입 가능 여부 판정 결과 포함			✅	✅			
앱-SCH	US-SCH-ACT-001	AI 검색 기반 의사결정 및 실행 연결	NOVA-SCH-BS-003-0	AI 검색	검색 결과	실행 경로 확인	BS	검색 결과·Answer Card에서 업무 실행 전 고객 통제 확인 바텀시트. 로그인 상태·권한 조건 충족 시 해당 업무 화면으로 이동	비교·추천 요약		✅	✅			
앱-SCH	US-SCH-ACT-001	AI 검색 기반 의사결정 및 실행 연결	NOVA-SCH-PG-005-0	AI 검색	검색 결과	지원금 조회	PG	단말별 공시지원금 비교 조회. 요금제 선택 조건·지원금 변동 알림 신청 포함	검색 결과		✅	✅	TD-DSP-SCH-MOPC-05-PG-001; TD-DSP-SCH-MOPC-05-PU-004; TD-DSP-SCH-MOPC-05-PU-011	TD	●
앱-SCH	US-SCH-RCV-001	검색 실패 복구 및 상담 전환	NOVA-SCH-PG-006-0	AI 검색	검색 결과 없음		PG	결과 0건 폴백 화면. 원인 안내(조건 불일치·데이터 없음·금칙어). 재검색·조건 완화·대체 경로(상담·FAQ) 유도		예외 1	✅	✅	TM-DSP-SCH-MO-12-PG-027; TU-DSP-SCH-MO-05-PG-001-3	TM, TU	●
앱-SCH	US-SCH-RCV-001	검색 실패 복구 및 상담 전환	NOVA-SCH-PG-007-0	AI 검색	오타 보정 제안 결과		PG	오타·축약어 감지 시 교정어 제안 및 교정 결과 선노출. '혹시 OOO을 찾으셨나요?' 패턴. 원본 검색어 재시도 옵션 포함		케이스 1	✅	✅	TU-DSP-SCH-MO-05-PG-001-2; TW-MY-MBR-MOPC-052-PU-001	TW, TU	●
앱-SCH	US-SCH-RCV-001	검색 실패 복구 및 상담 전환	NOVA-SCH-BS-004-0	AI 검색	상담 전환		BS	검색 결과 부족·실행 불가 시 상담 전환 바텀시트. 검색 질의·결과 맥락 상담사에게 전달. 이메일·전화 예약·채팅 경로 선택	검색 결과 없음; 검색 결과	예외 2	✅	✅			
