채널 구분	기능	근거	영향 IA	복잡도	빈도 	우선순위	현업 검토 의견	현업 확인 (fadeout가능 O)	현업팀
T 월드 FO	회원탈퇴_본인확인 (내국인 인증, 외국인 인증)	회원탈퇴 과정의 추가 본인확인 절차로, 절차 복잡도만 높이고 실질적인 효과 미미	2	상	하	P1	이견없음	O	T서비스기획1팀
	PC) 보관함 > 담은 보관함	특정 상품군에 한정된 보관 기능으로, 범용성과 이용 빈도가 모두 낮아 fade out 검토	1	중	하	P2	이견 없음	O	T서비스기획1팀
	PC) 회선별 이용권한 안내	단순 고지성 메뉴로, 실제 업무 흐름 내에서 안내 보강하고 fade out	1	중	하	P2	이견 없음	O	T서비스기획1팀
	바로 가입할 수 있는 온라인 상품	상담 예약 유도 중심의 유선상품 추천 화면으로, 실제 효용 제한적	6	중	하	P2	이견없음, 단, TDS 유선 추천 영역으로 통합 App. 관점에서 효과적인 상품 추천 시나리오 반영은 필요	O	T서비스기획1팀
	필요 서류 안내	제출 서류 안내 메뉴로, 업무 흐름 내 안내 방식이 더 적합	2	중	하	P2	단순히 온라인 채널의 제출서류를 안내하는 페이지가 아니라, 고객센터/유통망 등 타 채널 종합적으로 업무 별 필요 서류 기준을 안내 하는 페이지임. 해당 서비스 안내 필요 여부는 PR/CR(경쟁제도팀, 서비스제도팀), 고객 CARE팀(이용자보호평가 담당)협의 되어야 함	O (단, 해당 컨텐츠/안내 수용필요)	T서비스기획1팀
	혜택 할인 상세_추가 설명 팝업	장기 가입 혜택에 대한 이미지 중심 부가 설명 콘텐츠로, 페이지 규모 대비 실효성이 낮은 항목	1	하	하	P3	위 건과 동일하게 전사의 혜택 정보를 모아서 안내하는 페이지라, 각 혜택 별 담당 사업팀과 협의 필요 (대상 사업팀 '전체혜택_담당사업팀' 참고)	O (단, 해당 컨텐츠/안내 수용필요)	T서비스기획1팀
	앱 이용 가이드	앱 사용법 안내 중심의 콘텐츠성 메뉴로, 상시 메뉴보다는 상황형 안내에 집중 필요	1	하	하	P3	이견 없음. '26년 전체메뉴 개선 시에도 Fade-out 검토 중	O	T서비스기획1팀
	서비스 이용안내	가입·변경·요금 안내 중심의 FAQ성 콘텐츠로, 별도 메뉴 운영 효율이 낮은 항목	5	하	하	P3	필요 서류 안내'와 동일하게, 당사 회선 서비스의 제공 기준을 안내하는 페이지로, 각 페이지 별 담당부서와 협의 필요 (항목 별 PR/CR, 고객 Care팀, 요금팀 등 파편화됨) 	O (단, 해당 컨텐츠/안내 수용필요)	T서비스기획1팀
	회원탈퇴_설문조사	회원탈퇴 단계의 설문조사 항목으로, 사용량 미미	1	하	하	P3	이견없음	O	T서비스기획1팀
	PC) 개인정보 이용내역 조회	개인정보 이용내역 조회 전 중간 연결 메뉴로, 경유 페이지 없이 직접 진입 구조가 더 효율적인 항목	1	하	하	P3	이견없음	O	T서비스기획1팀
