domain	uc_code	uc_name	page_id	depth1	depth2	depth3	dev_type	description	from	flow_type	owner_page	owner_uc	legacy_screen_id	출처서비스	통합여부
앱-ORD	US-ORD-CRT-001	장바구니 확인 및 주문 전환 준비	NOVA-ORD-PG-001-0	장바구니			PG	장바구니 진입점(로그인). 담은 상품·세트 그룹핑, 총 예상 금액 요약, 주문 전환 준비. GNB 바텀탭 및 상품상세 담기 후 진입	홈; 상품상세		✅	✅	TU-ORD-CART-MO-09-PG-001-2; TU-ORD-CART-MO-09-PG-001-2-1; TD-ORD-CART-MOPC-08-PG-001; TW-ORD-CART-PC-076-PG-001	TW, TU, TD	●
앱-ORD	US-ORD-CRT-001	장바구니 확인 및 주문 전환 준비	NOVA-ORD-PG-002-0	장바구니	장바구니 (비로그인)		PG	비로그인 상태 장바구니. 로그인 유도 및 로그인 후 이관 처리. 담긴 상품 미리보기 노출		케이스 1	✅	✅	TU-ORD-CART-MO-09-PG-001-1; TU-ORD-CART-MO-09-PG-001-1-1; TU-ORD-CART-MO-09-PG-001-3	TU	●
앱-ORD	US-ORD-CRT-001	장바구니 확인 및 주문 전환 준비	NOVA-ORD-PG-003-0	장바구니	관심상품함		PG	관심상품(찜) 목록 조회 및 장바구니 이동. 로그인 필요			✅	✅	TD-ORD-CART-MOPC-08-PG-011	TD	●
앱-ORD	US-ORD-CRT-002	장바구니 상품 변경 및 세션 복원	NOVA-ORD-BS-001-0	장바구니	상품 변경/삭제 확인		BS	장바구니 내 상품 변경·수량 조절·삭제 시 가격 재계산 및 영향 안내 바텀시트			✅	✅			
앱-ORD	US-ORD-CRT-002	장바구니 상품 변경 및 세션 복원	NOVA-ORD-BS-002-0	장바구니	분리주문·조합검증 안내		BS	상품 조합 불가 또는 분리 주문 필요 시 사유 안내 및 분리 주문 유도 바텀시트		예외 1	✅	✅			
앱-ORD	US-ORD-JON-001	주문/계약/가입 진행	NOVA-ORD-PG-004-0	장바구니	주문/가입		PG	주문서 진입 및 가입 유형(기기변경·번호이동·신규) 확인. 이어하기 항목 복원. 자동입력(로그인 정보 기반) 적용	장바구니		✅	✅	TD-ORD-JOIN-MOPC-19-PG-001; TD-ORD-JOIN-MO-40-PG-002; TD-ORD-JOIN-MO-40-PG-008; TD-ORD-JOIN-MO-40-PG-009	TD	●
앱-ORD	US-ORD-JON-001	주문/계약/가입 진행	NOVA-ORD-PG-005-0	장바구니	주문/가입	단말/SIM 선택	PG	단말 색상·용량·USIM/eSIM 선택. 선택 즉시 가격 갱신. 품절 시 알림 신청 유도			✅	✅	TD-ORD-JOIN-MO-23-PG-009; TD-ORD-JOIN-MO-23-PG-010; TD-ORD-JOIN-MO-23-PG-011; TD-ORD-JOIN-MO-23-PG-012	TD	●
앱-ORD	US-ORD-JON-001	주문/계약/가입 진행	NOVA-ORD-PG-006-0	장바구니	주문/가입	요금제 선택	PG	가입 유형·상품 조건 기반 요금제 목록. 비다이렉트·다이렉트·마이투넘버·함께쓰기 분기. 요금제 비교 포함			✅	✅	TD-ORD-JOIN-MOPC-19-PG-011; TD-ORD-JOIN-MOPC-19-PG-012; TD-ORD-JOIN-MOPC-19-PG-014; TD-ORD-JOIN-MOPC-19-PG-018; TD-ORD-JOIN-MO-23-PG-013; TD-ORD-JOIN-MO-23-PG-014	TD	●
앱-ORD	US-ORD-JON-001	주문/계약/가입 진행	NOVA-ORD-PG-007-0	장바구니	주문/가입	추가 혜택	PG	선택 요금제 기반 추가 혜택(T 기프트·티다팩·바로보상·제휴 혜택 등). 혜택 선택 즉시 예상금액 반영	요금제 선택		✅	✅	TD-ORD-JOIN-MOPC-19-PG-022; TD-ORD-JOIN-MOPC-19-PG-024; TD-ORD-JOIN-MOPC-19-PG-036; TD-ORD-JOIN-MOPC-19-PG-039; TD-ORD-JOIN-MO-23-PG-019; TD-ORD-JOIN-MO-23-PG-020	TD	●
앱-ORD	US-ORD-JON-001	주문/계약/가입 진행	NOVA-ORD-BS-003-0	장바구니	주문/가입	할인 방법 안내	BS	공시지원금 vs 선택약정 할인 방법 비교 안내. 선택 후 할부/납부 단계로 이동			✅	✅	TD-ORD-JOIN-MOPC-19-PG-029; TD-ORD-JOIN-MOPC-19-PG-030; TD-ORD-JOIN-MOPC-19-PG-031; TD-ORD-JOIN-MOPC-19-PG-032	TD	●
앱-ORD	US-ORD-JON-001	주문/계약/가입 진행	NOVA-ORD-PG-008-0	장바구니	주문/가입	할부/납부 방법	PG	할부 개월 선택, 월 납부 금액 확인. 공시지원금·선택약정 분기 적용	추가 혜택		✅	✅	TD-ORD-JOIN-MOPC-19-PG-028; TD-ORD-JOIN-MOPC-19-PG-034; TD-ORD-JOIN-MO-23-PG-034	TD	●
앱-ORD	US-ORD-JON-001	주문/계약/가입 진행	NOVA-ORD-PG-009-0	장바구니	주문/가입	부가서비스 선택	PG	보험·부가서비스 선택. 상품 조건·요금제 기반 추천 목록. 선택/미선택 모두 다음 단계 이동 가능			✅	✅	TD-ORD-JOIN-MOPC-19-PG-147; TD-ORD-JOIN-MOPC-19-PG-148; TD-ORD-JOIN-MOPC-19-PG-149; TD-ORD-JOIN-MOPC-19-PG-150	TD	●
